episodes,time
160,5.904
161,2.434
162,3.439
163,5.271
164,8.511
165,7.324
166,3.921
167,4.69
168,5.154
169,3.254
170,5.956
171,4.757
172,4.187
173,5.69
174,5.921
175,4.89
176,2.585
177,2.604
178,3.387
179,7.027
180,7.473
181,6.024
182,2.968
183,5.04
184,6.19
185,5.589
186,7.008
187,3.253
188,6.34
189,6.423
190,6.808
191,3.222
192,3.701
193,6.055
194,6.358
195,4.639
196,2.819
197,5.605
198,4.789
199,6.626
200,3.553
201,5.689
202,3.253
203,6.841
204,5.605
205,5.709
206,3.387
207,5.589
208,6.039
209,6.324
210,6.141
211,4.254
212,4.321
213,6.272
214,3.839
215,2.401
216,4.654
217,4.556
218,5.488
219,4.457
220,4.219
221,5.423
222,5.673
223,5.571
224,4.421
225,4.04
226,3.47
227,6.808
228,5.439
229,5.02
230,4.339
231,3.352
232,3.47
233,5.573
234,5.008
235,4.503
236,4.921
237,5.274
238,5.407
239,4.923
240,5.073
241,4.753
242,4.923
243,3.47
244,3.319
245,3.104
246,5.538
247,4.723
248,4.253
249,1.868
250,4.491
251,6.506
252,4.939
253,4.32
254,4.24
255,5.188
256,6.424
257,5.488
258,4.841
259,6.023
260,5.622
261,5.29
262,4.753
263,3.973
264,2.269
265,2.351
266,4.27
267,1.936
268,5.039
269,3.621
270,4.74
271,3.904
272,3.8
273,4.854
274,3.404
275,3.573
276,2.05
277,5.723
278,4.854
279,3.571
280,2.902
281,3.236
282,4.523
283,4.521
284,5.29
285,4.122
286,4.655
287,3.804
288,5.321
289,5.355
290,5.657
291,3.852
292,5.559
293,2
294,4.153
295,4.338
296,4.621
297,5.523
298,7.04
299,3.438
300,4.654
301,3.538
302,3.793
303,2.63
304,5.289
305,3.92
306,4.371
307,2.987
308,4.371
309,3.488
310,3.119
311,3.772
312,5.507
313,2.484
314,5.072
315,4.221
316,5.422
317,3.571
318,3.471
319,2.686
320,5.071
321,4.589
322,3.686
323,5.558
324,4.386
325,4.689
326,1.885
327,4.605
328,3.405
329,2.936
330,4.306
331,2.485
332,4.27
333,2.32
334,3.086
335,2.869
336,4.706
337,4.404
338,4.336
339,2.105
340,4.787
341,2.25
342,4.023
343,5.606
344,4.04
345,1.901
346,4.853
347,3.556
348,4.221
349,4.505
350,3.167
351,2.836
352,3.672
353,3.602
354,3.771
355,2.353
356,4.087
357,2.352
358,4.356
359,3.819
360,4.156
361,4.003
362,4.689
363,4.204
364,4.086
365,3.806
366,3.854
367,3.339
368,3.386
369,2.251
370,1.783
371,4.623
372,4.136
373,4.689
374,4.271
375,3.037
376,3.821
377,3.301
378,4.89
379,2.185
380,4.571
381,4.773
382,3.671
383,3.521
384,3.837
385,3.703
386,3.871
387,3.72
388,1.951
389,4.323
390,4.254
391,4.474
392,2.986
393,4.204
394,4.088
395,3.638
396,3.973
397,3.385
398,2.754
399,2.886
400,4.921
401,4.306
402,4.32
403,4.022
404,3.27
405,3.053
406,3.354
407,5.154
408,3.939
409,5.972
410,1.971
411,3.922
412,3.569
413,3.337
414,3.503
415,3.186
416,3.571
417,1.801
418,2.703
419,3.59
420,3.469
421,3.572
422,3.97
423,4.087
424,4.223
425,4.47
426,3.955
427,3.587
428,2.386
429,3.705
430,3.57
431,2.787
432,2.135
433,3.404
434,3.285
435,4.357
436,4.153
437,4.072
438,3.319
439,4.47
440,2.571
441,3.719
442,4.121
443,3.354
444,3.569
445,4.49
446,3.87
447,2.602
448,3.404
449,2.167
450,2.753
451,3.386
452,1.95
453,3.419
454,3.872
455,3.886
456,2.651
457,3.305
458,3.987
459,2.719
460,3.888
461,2.602
462,4.123
463,3.67
464,3.72
465,3.37
466,1.919
467,3.152
468,2.651
469,3.872
470,2.853
471,2.735
472,3.922
473,3.253
474,3.586
475,3.505
476,3.453
477,3.989
478,3.77
479,3.017
480,3.521
481,3.97
